"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 20 05:03:36 GMT 2023","Thu Apr 20 05:03:52 GMT 2023","15965","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 05:01:16 GMT 2023","Thu Apr 20 05:01:39 GMT 2023","22787","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 05:03:20 GMT 2023","Thu Apr 20 05:03:25 GMT 2023","4802","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"failed","Thu Apr 20 05:01:58 GMT 2023","Thu Apr 20 05:02:17 GMT 2023","18524","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 05:05:34 GMT 2023","Thu Apr 20 05:05:40 GMT 2023","6298","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 05:01:40 GMT 2023","Thu Apr 20 05:02:00 GMT 2023","19436","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 05:02:27 GMT 2023","Thu Apr 20 05:02:31 GMT 2023","3202","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"failed","Thu Apr 20 05:04:47 GMT 2023","Thu Apr 20 05:05:07 GMT 2023","20122","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 05:02:42 GMT 2023","Thu Apr 20 05:02:45 GMT 2023","3146","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 05:02:46 GMT 2023","Thu Apr 20 05:02:53 GMT 2023","7009","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"passed","Thu Apr 20 05:03:54 GMT 2023","Thu Apr 20 05:03:59 GMT 2023","5444","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 05:04:42 GMT 2023","Thu Apr 20 05:04:44 GMT 2023","2507","Tests","test_Login","","","","test_SignInThroughValidCredentials",""
"passed","Thu Apr 20 05:02:36 GMT 2023","Thu Apr 20 05:02:37 GMT 2023","1399","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"failed","Thu Apr 20 05:02:51 GMT 2023","Thu Apr 20 05:03:19 GMT 2023","27943","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 05:04:00 GMT 2023","Thu Apr 20 05:04:06 GMT 2023","5756","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 05:02:23 GMT 2023","Thu Apr 20 05:02:26 GMT 2023","3394","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"failed","Thu Apr 20 05:04:19 GMT 2023","Thu Apr 20 05:04:40 GMT 2023","21764","Tests","test_temprory_worker","","","","test_TemporaryWorkerVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 05:05:09 GMT 2023","Thu Apr 20 05:05:12 GMT 2023","3259","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"passed","Thu Apr 20 05:05:43 GMT 2023","Thu Apr 20 05:05:49 GMT 2023","6044","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"broken","Thu Apr 20 05:05:18 GMT 2023","Thu Apr 20 05:05:33 GMT 2023","14848","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 05:02:18 GMT 2023","Thu Apr 20 05:02:22 GMT 2023","3407","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 05:05:13 GMT 2023","Thu Apr 20 05:05:19 GMT 2023","6102","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 05:02:38 GMT 2023","Thu Apr 20 05:02:41 GMT 2023","2439","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 05:02:32 GMT 2023","Thu Apr 20 05:02:33 GMT 2023","1647","Tests","test_Login","","","","test_SignInWithoutCredentials",""
